Year;Group;Nest;Groupsize;Afem;Amal;SA;Juv;Lay date;Fledge date;Hatch date;Ringingdate;Chickmass;Tarsuslength;Ringingage;meanmaxTspecific;Rainfallspecific
2013-2014;Janovsky;Janovsky;4;1;1;1;1;2013/10/06;2014/01/25;2013/11/14;14/01/2014;2950;154;61;30,13548387;223,8
2013-2014;Java;Java;5;1;1;3;0;2013/11/10;2014/03/16;2013/12/20;04/03/2014;3150;148;74;31,01466667;395,4
2013-2014;Johnniesdale;Johnniesdale;3;1;1;1;0;2013/12/01;2014/04/10;2014/01/10;19/03/2014;3200;152;68;31,49130435;241,4
2013-2014;Karan Khaya;Karan Khaya;5;1;2;1;1;2013/10/12;2014/02/08;2013/11/21;03/02/2014;2750;157;74;30,36666667;335,2
2013-2014;Keer Keer;Keer Keer;5;1;2;1;1;2013/11/21;2014/04/02;2013/12/31;04/03/2014;3150;151;63;31,39375;184,4
2013-2014;Rhino Road;Rhino Road;7;1;3;2;1;2013/10/28;2014/03/04;2013/12/07;18/02/2014;3150;163;73;30,75135135;319,4
2014-2015;Addger;Addger;5;1;1;2;1;2014/10/19;2015/02/14;2014/11/27;07/02/2015;3450;144;72;32,34657534;151
2014-2015;Caroline;Caroline;6;1;3;2;0;2014/12/19;n/a;2015/01/26;08/04/2015;2550;143;72;33,22739726;64,8
2014-2015;Copenhagen;Hull;7;n/a;n/a;n/a;n/a;2014/11/06;2015/03/05;2014/12/17;27/02/2015;3650;153;72;33,15616438;135,4
2014-2015;Karan Khaya;Karan Khaya;6;1;2;2;1;2014/09/26;2015/01/24;2014/11/05;20/01/2015;4150;170;76;31,54675325;157,8
2014-2015;Rhino Road;Rhino Road;5;1;3;0;1;2014/11/09;2015/03/08;2014/12/18;28/02/2015;3900;172;72;33,2109589;135,2
2015-2016;Addger;Addger;5;1;1;2;1;2015/11/02;2016/03/01;2015/12/12;16/02/2016;2150;149;66;34,60597015;30,4
2015-2016;Copenhagen;Hull;5;n/a;n/a;n/a;n/a;2015/11/06;2016/03/06;2015/12/16;25/02/2016;3500;146;71;34,70694444;35,24
2015-2016;Lornay;Lornay;4;1;1;2;0;2015/11/06;2016/03/11;2015/12/21;25/02/2016;3160;153;66;34,60149254;35,24
2015-2016;Ntsiri;Ntsiri - New;3;1;1;1;0;2015/11/06;2016/03/11;2015/12/16;25/02/2016;2700;157;71;34,70694444;35,24
2016-2017;Addger;Addger;6;1;2;1;2;2016/10/27;n/a;2016/12/05;15/02/2017;3300;159;72;31,57534247;144,78
2016-2017;Caroline;Caroline;5;1;3;1;0;2016/11/08;n/a;2016/12/21;06/03/2017;3140;143;75;31,01578947;184,54
2016-2017;Copenhagen;Hull;n/a;n/a;n/a;n/a;n/a;2016/11/23;n/a;2016/12/27;08/03/2017;3650;154;71;30,76111111;168,05
2016-2017;Janovsky;Janovsky;3;1;2;0;0;2016/11/18;n/a;2016/12/24;08/03/2017;3130;146;74;30,69466667;184,79
2016-2017;Karan Khaya;Karan Khaya;4;1;2;1;0;2016/10/08;n/a;2016/11/17;27/01/2017;3150;158;71;31,35;162,3
2017-2018;Addger;Addger;6;1;2;2;1;2017/10/31;2018/02/26;2017/12/03;14/02/2018;3600;155;73;32,84054054;66,19
2017-2018;Pitlochry;Camp George;3;1;1;1;0;2017/10/26;2018/02/24;2017/12/01;12/02/2018;3500;143;73;32,96621622;66,19
2017-2018;Hermansburg;Von Tonder;3;1;2;0;0;2017/10/19;2018/02/21;2017/11/28;10/02/2018;2900;143;74;32,884;65,68
2017-2018;Janovsky;Janovsky;3;n/a;n/a;n/a;n/a;2017/10/27;2029/02/18;2017/12/06;17/02/2018;3100;143;73;32,83378378;106,82
2017-2018;Java;Java;5;1;2;1;1;2017/10/25;2018/02/24;2017/11/30;13/02/2018;2610;151;75;32,95263158;66,19
2017-2018;Karan Khaya;Karan Khaya;4;1;2;0;1;2017/09/28;2018/01/29;2017/11/04;17/01/2018;3000;158;74;31,75333333;76,32
2017-2018;Rhino Road;Tawane;5;1;2;2;0;2017/09/26;n/a;2017/11/10;26/01/2018;3910;156;77;32,10512821;82,92
2017-2018;Thornybush;Thornybush;6;1;2;1;2;2017/09/17;2018/01/21;2017/10/27;10/01/2018;3350;179;75;31,16052632;81,14
2018-2019;Pitlochry;Camp George;3;1;1;1;0;2018/11/22;2019/03/28;2018/12/29;14/03/2019;2750;129;75;32,21973684;148,95
2018-2019;Addger;Addger;4;1;2;1;0;2019/01/03;2019/04/27;2019/02/01;16/04/2019;2750;147;74;31,42533333;108,55
2018-2019;Janovsky;Janovsky;4;2;1;0;1;2018/12/29;2019/04/20;2019/02/07;19/04/2019;2750;147;71;31,33472222;92,29
2018-2019;Johnniesdale;Vlak;6;1;4;0;1;2018/12/12;2019/04/10;2019/01/18;04/04/2019;3240;158;76;31,87142857;132,69
2018-2019;Karan Khaya;Karan Khaya;5;1;2;1;1;2018/11/23;2019/03/28;2018/12/29;14/03/2019;2650;147;75;32,21973684;148,95
2019-2020;Karan Khaya;Karan Khaya;5;1;2;1;1;2019/11/24;n/a;2020/01/02;17/03/2020;3060;169;75;31,62133333;353
2019-2020;Rhino Road;Addger;4;1;3;0;0;2019/12/03;n/a;2020/01/12;28/03/2020;2780;159;76;31,18815789;321,2
2019-2020;Lornay;Almero;4;n/a;n/a;n/a;n/a;2019/12/03;n/a;2020/01/12;28/03/2020;3270;159;76;31,18815789;321,2
2019-2020;Thornybush;Thornybush;4;1;2;0;1;2019/12/03;n/a;2020/01/13;28/03/2020;3120;159;75;31,168;321,2
2019-2020;Janovsky;Janovsky;4;1;1;1;1;2019/12/06;n/a;2020/01/16;31/03/2020;3000;147;75;31,23733333;321,2
2019-2020;Senalala;Senalala;4;1;2;0;1;2019/12/13;n/a;2020/01/16;31/03/2020;3560;168;75;31,23733333;321,2
2019-2020;Johnniesdale;McBride;5;1;2;1;1;2019/12/09;n/a;2020/01/19;03/04/2020;2990;160;75;30,94933333;195,6
2020-2021;Karan Khaya;Karan Khaya;5;1;3;0;1;2020/10/23;2021/02/24;2020/12/02;15/02/2021;3170;147,37;75;30,55866667;435
2020-2021;Hermansburg;Von Tonder;3;1;2;0;0;2020/10/23;2021/02/17;2020/12/02;15/02/2022;2950;150,4;75;30,55866667;472
2020-2021;Johnniesdale;McBride;6;1;2;1;2;2020/10/27;2021/03/02;2020/12/06;19/02/2021;2560;151,66;75;30,72666667;478
2020-2021;Copenhagen;Charloscar;4;1;3;0;0;2020/10/31;2021/03/08;2020/12/11;24/02/2021;3130;149,92;75;30,884;392
2020-2021;Dover;Pitlochry;3;1;2;0;0;2020/11/02;2021/03/06;2020/12/14;27/02/2021;2850;152,32;75;30,63466667;391,9
2020-2021;York;York;2;1;1;0;0;2020/11/08;2021/03/08;2020/12/18;03/03/2021;2880;138,6;75;30,372;259,2
